,english,sentiment,vader_sentiment,blob_sentiment
1034,from july we will move from metres to ‘ metre plus’ this means staying one_metre apart_plus mitigations which reduce the risk of transmission stayalert,NEUTRAL,NEGATIVE,NEUTRAL
1035,from july we will_be easing some_restrictions in england where it’s not possible to stay two_metres apart people will_be advised to keep one_metre apart_plus mitigations such_as wearing a face_covering or ensuring you face away_from others,NEUTRAL,POSITIVE,NEUTRAL
1036,i was_honoured to meet with members of britain’s caribbean community at_downing street today on the nd_anniversary of the arrival of the empire windrush to britain_windrushday,POSITIVE,NEUTRAL,NEUTRAL
1037,years_ago today the windrush_generation began to arrive in the uk they contributed greatly to rebuilding post_war britain today we celebrate members of the windrush_generation and their_descendants and their fantastic_contribution to britain_windrushday,POSITIVE,POSITIVE,POSITIVE
1038,i’m_appalled and sickened that people should_lose their_lives in this way our thoughts_are with the families and friends of the victims thank_you to thames_valley police for their_bravery in tackling the suspect,NEGATIVE,NEGATIVE,NEUTRAL
1039,my_thoughts are with all of those_affected by the appalling_incident in reading and my thanks to the emergency_services on the scene,NEUTRAL,POSITIVE,POSITIVE
1040,it_was fantastic to answer the questions of children at bovingdon primary academy yesterday and talk to them about the government’s new £_billion fund to support schools and children across_england,POSITIVE,POSITIVE,POSITIVE
1041,earlier_today i_went to bovingdon academy to see_how they are safely getting kids back_into school our £_billion fund is going to help schools catch_up and bounce_forward when all schools come_back in september,POSITIVE,POSITIVE,POSITIVE
1042,today i_welcomed to downingstreet for the th_anniversary of the call of general_charles de_gaulle from june th we will_never forget the sacrifices made for our freedom our countries will forever be neighbors and friends united by our common_values,POSITIVE,POSITIVE,NEUTRAL
1043,today i_hosted at for the th_anniversary of general_charles de gaulle’s appeal of june we will_never forget the sacrifices that were made for our freedom our countries will forever be neighbours and friends united by our_shared values,POSITIVE,POSITIVE,NEUTRAL
1044,welcome to downing_street president,POSITIVE,POSITIVE,POSITIVE
1045,thank_you to all the fantastic_nhs staff i_spoke to from charing_cross hospital for all you have done throughout the coronavirus_pandemic,POSITIVE,NEUTRAL,NEUTRAL
1046,dame vera lynn’s charm and magical voice entranced and uplifted our country in some of our darkest hours her voice will live on to lift the hearts of generations to come,POSITIVE,POSITIVE,POSITIVE
1047,earlier_this week i was_delighted to have an_insightful conversation_with staff at charing_cross hospital thank_you for all your hard_work during this_pandemic and for all that you do to save_lives and care for others in need thankyounhs,POSITIVE,POSITIVE,NEUTRAL
1048,the four men we are honouring today – pierre edgard daniel and hubert – symbolise the enduring depth and strength of the friendship_between the uk and france they are heroes_who defended us and the whole_world from_fascism,POSITIVE,POSITIVE,NEUTRAL
1049,i’m_proud to call the united_kingdom a friend of new_zealand and am thrilled that we now have the opportunity to strengthen_our alliance by negotiating a new free_trade agreement,POSITIVE,POSITIVE,POSITIVE
1050,there_are few countries in the world who share a closer friendship than australia and the uk now as an_independent trading_nation for the first_time in decades we have the opportunity to turn our_shared history and friendship into a world_leading free_trade agreement,POSITIVE,POSITIVE,NEGATIVE
1051,i_know that the lockdown_restrictions have_been difficult and that many will_be suffering_from loneliness and feelings of isolation if_you know_someone who may be alone at this time give_them a call and let them know that you care lonelinessawarenessweek,NEGATIVE,NEGATIVE,NEUTRAL
1052,i was_delighted to meet those working at westfield_shopping centre stratford where i_saw adjustments being_made to ensure customers can shop safely this_week as shops start reopening in england remember to follow_social distancing_rules to protect_yourself and others,POSITIVE,POSITIVE,POSITIVE
1053,today i_visited westfield_shopping centre in east_london to meet_some of the people who work there they_ve been working very_hard to get ready to reopen tomorrow when we_re hoping people will return to the shops,POSITIVE,POSITIVE,POSITIVE
1054,while those_affected by grenfell are not able_to gather in person i_want you to know that all of us in this country are with you in spirit i remain_absolutely committed to uncovering the causes of this tragedy and ensuring it is never_repeated,NEUTRAL,NEGATIVE,NEUTRAL
1055,racist thuggery has no_place on our_streets anyone attacking the police will_be met_with full force of the law these marches amp protests have_been subverted_by violence and breach current guidelines racism has no part in the uk and we_must work_together to make that a_reality,NEGATIVE,NEGATIVE,POSITIVE
1056,the statue of winston_churchill in parliament square is a permanent reminder of his achievement in saving this country – and the whole of europe – from a fascist and racist tyranny,POSITIVE,NEGATIVE,POSITIVE
1057,from this_weekend single adult households including single parents with children_under can form a support bubble with one other_household we are making this intervention so that those_who have_been living_alone for a long_time can reconnect with loved_ones,POSITIVE,POSITIVE,NEGATIVE
1058,earlier_this week i_spoke to members of staff at foxholes care home in hertfordshire to thank them all for their work throughout the coronavirus_pandemic and beyond carersweek,POSITIVE,POSITIVE,NEUTRAL
1059,we_must all continue to remember_those on the frontline battling this_disease and members of society who are vulnerable and continue to do all we_can to stop the spread of coronavirus by doing the right_thing and following the rules you are helping to save_lives,POSITIVE,NEGATIVE,NEGATIVE
1060,i_want to say thank_you from the bottom of my_heart to all carers in the uk helping_us through this_pandemic whether you work as a carer_or are caring for someone at_home your compassion and strength at this time is a_beacon of hope for us all carersweek,POSITIVE,POSITIVE,NEUTRAL
1061,let_us work peacefully and lawfully to defeat racism and discrimination wherever we find it and let_us continue to work_together as we put britain back on its_feet,POSITIVE,NEGATIVE,POSITIVE
1062,people have a right to protest peacefully amp while observing social_distancing but they have no right to attack the police these demonstrations have_been subverted_by thuggery and they are a betrayal of the cause they purport to serve those_responsible will_be held to account,NEGATIVE,NEGATIVE,POSITIVE
1063,together we have made it through the peak_but we’re not_yet back to normal_please continue to stayalert keep_metres away_from others and wash_your hands_regularly if_you have_symptoms of coronavirus self_isolate and apply for a home testing kit,NEGATIVE,NEUTRAL,NEUTRAL
1064,we all have a part to play in stopping the spread of coronavirus let’s continue to take extra care by keeping_metres apart and washing_our hands_regularly stayalert,NEUTRAL,POSITIVE,NEUTRAL
1065,the virus_spreads more easily indoors so if_you are meeting others today stay outside and keep_metres away at all times,NEGATIVE,POSITIVE,POSITIVE
1066,we all need to stayalert act responsibly and strictly_observe social_distancing rules do_not meet others inside your home stay outdoors keep_metres apart and wash_your hands_regularly,NEUTRAL,NEUTRAL,POSITIVE
1067,if_you are_contacted by an nhs contact tracer who_tells you that you have_been in contact_with someone_who has_tested positive for coronavirus you must self_isolate for days if everyone_follows these guidelines we_can control the virus protect our_nhs and save_lives,NEGATIVE,POSITIVE,POSITIVE
1068,today i_am thinking of the men who landed on the beaches of normandy years_ago who_fought and died so that we_can be free from the evils of fascism we will_always be grateful for their_courage and we will_always remember their sacrifice dday dday,POSITIVE,NEGATIVE,POSITIVE
1069,thank_you for all you have_been doing to fight the spread of this_virus and to protect our_nhs we_can beat_this together,POSITIVE,NEUTRAL,NEUTRAL
1070,if_you have coronavirus_symptoms a high_temperature a new_continuous cough_or a loss or change to sense of taste_or smell you need to self_isolate and get_tested there_is plenty of capacity and anyone with symptoms is eligible order a test from,NEGATIVE,NEGATIVE,NEUTRAL
1071,whilst we are all rightly focused_on beating_coronavirus we_cannot lose_sight of the need to protect our people and our_planet from the devastating threat of climate_change and biodiversity_loss if nothing is done,NEGATIVE,NEGATIVE,NEGATIVE
1072,it_was a_privilege to host yesterday’s global vaccine summit bringing_together countries to vaccinate against the world’s deadliest diseases the summit has_raised an_incredible bn for,POSITIVE,NEUTRAL,NEUTRAL
1073,let’s continue to fight this_virus by_staying alert keeping_metres away_from others and regularly washing_our hands stayalert,NEGATIVE,NEGATIVE,NEUTRAL
1074,today i call on countries to back the global vaccine alliance let’s fortify this lifesaving alliance and inaugurate a new_era of global health co_operation which i_believe is now the most essential shared_endeavour of our_lifetimes,POSITIVE,NEUTRAL,POSITIVE
1075,we all have a role to play in beating this_virus thank_you for all that you are_doing stayalert,POSITIVE,NEGATIVE,NEUTRAL
1076,i have no_doubt that the british_public will_continue to show the same resolve in fighting the virus as they have throughout the outbreak we will get_through this if we stay_alert control the virus and in doing_so save_lives,POSITIVE,NEUTRAL,NEUTRAL
1077,if_you are_experiencing symptoms of coronavirus you should_self isolate and ask for a test home testing kits are available for anyone with symptoms and members of their household you can apply for a test here,NEGATIVE,NEGATIVE,POSITIVE
1078,thank_you for all that you are_doing to fight this_virus as we begin to ease_some restrictions_it’s important that we stayalert to the risk of infection and stay_metres away_from others,POSITIVE,NEGATIVE,POSITIVE
1079,britain wants nothing more_than for hong_kong to succeed under “one country two systems” i_hope that china wants the same let_us work_together to make it so,POSITIVE,POSITIVE,POSITIVE
1080,if_you are_contacted by nhs_test and trace follow their instructions and self_isolate this will help to contain the spread of the virus protect our_nhs and move us_closer towards a more normal_way of life stayalert,NEUTRAL,POSITIVE,POSITIVE
1081,if_you have_symptoms of coronavirus you should_self isolate and get yourself_tested symptoms_include ⚫_a high_temperature ⚫_a new_continuous cough_⚫ change or loss of smell_or taste to book a test_visit,NEGATIVE,NEGATIVE,NEUTRAL
1082,during volunteersweek_i want to say a big thank_you to all the volunteers across the uk whether you’ve helped a neighbour with their shopping_or delivered supplies to local hospitals your kindness and compassion has_been admired by us all keep_going and thank_you,POSITIVE,POSITIVE,NEUTRAL
1083,at the start of pridemonth i_want to thank those in the lgbt_community and campaigners for their inspirational work in fighting tirelessly to overcome the prejudices many face your contribution has_helped shape a better_future for people in the uk and around the world,POSITIVE,POSITIVE,POSITIVE
1084,you are_eligible for a test if_you have coronavirus_symptoms a high_temperature a new_continuous cough loss or change to your sense of smell_or taste more_information here,NEUTRAL,NEGATIVE,NEUTRAL
1085,as we begin to ease_some restrictions in england today it’s important that we all stayalert to the risk of coronavirus remember to wash_your hands_stay metres_apart and if_you have_symptoms self_isolate and get_tested,NEGATIVE,NEGATIVE,POSITIVE
1086,from today in england you will_be allowed to meet up to five friends in public outdoor places or in your garden this will_be a moment of joy and relief for many please remember to keep_metres away_from those you don’t live with and wash_your hands_regularly,POSITIVE,POSITIVE,POSITIVE
1087,i_know many of you will_be enjoying the warmer weather today if_you’re out exercising or meeting a friend remember to stay_metres apart and wash_your hands_regularly stayalert,POSITIVE,POSITIVE,POSITIVE
1088,thanks to our_collective national_effort we have protected our_nhs and saved_many lives let’s continue to fight this_virus by_staying alert and keeping_metres apart_stayalert,POSITIVE,POSITIVE,POSITIVE
1089,as we begin to ease_some restrictions_it’s so important that we continue to stay_alert to the risk of infection keep_metres away_from others and wash_your hands_regularly stayalert,NEGATIVE,POSITIVE,POSITIVE
1090,on international_day of un peacekeepers i_want to pay my tribute to the blue_helmets and many_others who do so_much to bring peace in areas of the world torn apart by conflict pkday,POSITIVE,POSITIVE,NEUTRAL
1091,from_monday we will_allow up to people to meet_outside provided those from different_households continue to strictly_observe social_distancing rules by_staying metres_apart stayalert,NEUTRAL,NEUTRAL,NEUTRAL
1092,from_monday we will_allow up to six people to meet_outside provided those from different_households continue strictly to observe_social distancing_rules by_staying two_metres apart,NEUTRAL,NEUTRAL,NEUTRAL
1093,thanks to your resolve and dedication the five_tests are being met and we_can now start to ease_some restrictions in england as places begin to reopen we_must all continue to stayalert and keep_metres away_from others,POSITIVE,POSITIVE,POSITIVE
1094,today’s clap for carers marks weeks of celebrating our wonderful nhs and carers in this way i_want to thank each and every one of our wonderful nhs and care_workers for the incredible selfless work they do to look_after us all,POSITIVE,POSITIVE,POSITIVE
1095,if we are to defeat_covid achieve a global_recovery and avoid a future pandemic then we_must work_together across_borders,POSITIVE,NEGATIVE,NEUTRAL
1096,together we have made it through the peak_but we’re not_yet back to normal_please continue to stayalert and keep_metres away_from others when outside,NEGATIVE,NEUTRAL,NEUTRAL
1097,we all have a role to play in beating_coronavirus stayalert control the virus save_lives,NEUTRAL,POSITIVE,NEUTRAL
1098,we’re past the peak_but we_can’t get_complacent stay_alert keep_metres away_from others and wash_your hands_regularly stayalert,NEGATIVE,NEUTRAL,NEGATIVE
1099,if_you have_symptoms of coronavirus you are_eligible for testing to book a test_visit,NEUTRAL,NEUTRAL,NEUTRAL
1100,in line with the approach being_taken by many other_countries we want to start getting our children back_into the classroom in a way that is as safe as_possible,POSITIVE,POSITIVE,POSITIVE
1101,if_you have_symptoms of coronavirus you should_self isolate and get yourself_tested to book a test_visit,NEGATIVE,NEGATIVE,NEUTRAL
1102,if_you have_symptoms of coronavirus you should_self isolate and get yourself_tested symptoms_include ⚫_a high_temperature ⚫_a new_continuous cough_⚫ change or loss of smell_or taste to book a test_visit,NEGATIVE,NEGATIVE,NEUTRAL
1103,seven_years on from his murder on a london street we_remember fusilier lee rigby on this sad day my_thoughts are with his_family friends and colleagues,NEGATIVE,NEGATIVE,NEGATIVE
1104,it’s so important we all continue to stay_alert and follow the rules keep_metres from others wash_your hands_regularly self_isolate immediately if_you develop a new_continuous cough a high_temperature or a change or loss of your sense of taste_or smell stayalert,NEUTRAL,NEGATIVE,POSITIVE
1105,today on the third anniversary of the manchester_arena attack we_remember the lives which were so_cruelly taken my_thoughts are with all of those_grieving for the loss of their_loved ones,NEUTRAL,NEGATIVE,NEUTRAL
1106,yesterday i_hosted the hidden harms summit at_downing street to discuss_how we_can tackle crimes like domestic_abuse and modern slavery,NEUTRAL,NEGATIVE,POSITIVE
1107,thank_you to all of our wonderful carers_for your work during the coronavirus_pandemic you make us all proud to have such a fantastic_nhs,POSITIVE,POSITIVE,POSITIVE
1108,today i_hosted a summit to explore how we_can ensure that all children and adults are protected and supported during this challenging_time it is_vital that we come_together and bring all our_collective expertise to ensure we do_everything we_can to support those at_risk,NEUTRAL,POSITIVE,NEUTRAL
1109,we_must all continue to stayalert and follow the rules on social_distancing,NEGATIVE,NEUTRAL,NEUTRAL
1110,we are making vast progress in testing and tracing and i have great confidence that we will have a system very soon that will help_us defeat this_disease,POSITIVE,POSITIVE,POSITIVE
1111,you have inspired us all with your fantastic_fundraising efforts on_behalf of the whole_country i_want to say a_huge thank_you,POSITIVE,POSITIVE,NEUTRAL
1112,i_know this has_been a tough_time for so_many people thank_you for all of the sacrifices you have made we are past the peak and i’m_confident that if we continue to follow the rules and work_together we will beat_this virus and be_reunited with our friends and family soon,POSITIVE,POSITIVE,NEGATIVE
1113,thank_you for all you are_doing to fight this_virus let’s_keep going stayalert,POSITIVE,NEGATIVE,NEUTRAL
1114,the common_sense of the british_people got us through that first_phase of this_disease i_am absolutely confident it will get us through the next as_well stayalert,POSITIVE,POSITIVE,POSITIVE
1115,thank_you for all that you are_doing please stayalert and continue to follow the government guidelines,POSITIVE,POSITIVE,NEUTRAL
1116,these are difficult_times for all talking to others about_how we are feeling and reaching_out to those in need has_never been more important if_you are_struggling or are worried_about someone reach_out for help mentalhealthawarenessweek,NEGATIVE,POSITIVE,POSITIVE
1117,we_can beat_this virus together – but only if we stay_alert,POSITIVE,NEUTRAL,NEUTRAL
1118,i_know this will not be easy_— the first baby steps never are but i_hope that when we look back the changes we have made this_week will_be seen as an_important moment on the road to our_nation’s recovery,POSITIVE,NEUTRAL,POSITIVE
1119,we all have a role to play in containing the virus read the latest government_advice here_stayalert,NEUTRAL,POSITIVE,POSITIVE
1120,this_weekend we_must all continue to stay_alert and control the virus stayalert,NEGATIVE,NEUTRAL,NEUTRAL
1121,like the front windows of houses across the nation our window at_downing street is filled_with rainbows drawn_by children in support of the nhs thank_you to all the families who have sent in their drawings to be displayed they are a_symbol of hope for us all thankyounhs,POSITIVE,POSITIVE,NEUTRAL
1122,we_can beat_this virus together but only if we all continue to stayalert and follow the rules on social_distancing,POSITIVE,NEUTRAL,NEUTRAL
1123,thank_you to those wonderful people who care for all of us when we_need it the most tonight we clapped for all of you thankyounhs clapforcarers,POSITIVE,POSITIVE,POSITIVE
1124,we all have a role to play in containing the virus read the latest government_advice here_stayalert,NEUTRAL,POSITIVE,POSITIVE
1125,thank_you for all that you have_been doing_so far_let’s keep_going,POSITIVE,NEUTRAL,NEUTRAL
1126,there could_be no_greater mistake than to jeopardise everything we have striven to achieve by proceeding too_far and too_fast we_must all continue to stayalert so that we_can control the virus and save_lives,NEGATIVE,NEGATIVE,NEUTRAL
1127,everybody has a role to play in keeping the r_down by_staying alert and following the rules,NEUTRAL,POSITIVE,NEUTRAL
1128,we_can help control the virus if we all stay_alert stayalert,POSITIVE,POSITIVE,NEUTRAL
1129,we will come_back from this and though the united_kingdom will_be changed by this experience i_believe we_can be stronger and better than_ever before stayalert,POSITIVE,POSITIVE,POSITIVE
1130,we are asking people to stay_alert control the virus and save_lives stayalert,NEUTRAL,NEUTRAL,NEUTRAL
1131,we will beat_this virus together please continue to stay_alert and follow the latest guidelines stayalert,POSITIVE,POSITIVE,POSITIVE
1132,we_must continue to stay_alert control the virus and save_lives read the latest government_advice here,NEGATIVE,NEUTRAL,POSITIVE
1133,we have published a roadmap for how and when the uk government will adjust our response to the covid_crisis you can read it here_stayalert,NEUTRAL,NEUTRAL,NEUTRAL
1134,we_must continue to control the virus and save_lives read the latest government_advice here_stayalert,NEGATIVE,NEUTRAL,POSITIVE
1135,on internationalnursesday i pay_tribute to florence nightingale pioneer of modern nursing who was_born years_ago today thank_you to all of our amazing_nurses in the uk who are taking_care of us especially in this very_difficult time you are the very_best of us,POSITIVE,NEUTRAL,POSITIVE
1136,do you want to ask_me a question at today’s downing_street q_amp a if so you can_submit yours_here,NEUTRAL,POSITIVE,NEUTRAL
1137,⬇️ thread ⬇️ to chart our progress and to avoid going back to square one we are establishing a new covid_alert system run by a new joint biosecurity centre that covid_alert level will_be determined primarily by r and the number of coronavirus_cases stayalert,POSITIVE,POSITIVE,POSITIVE
1138,do you want to ask_me a question tomorrow if so you can_submit yours_here,NEUTRAL,POSITIVE,NEUTRAL
1139,an_important update to the nation on_coronavirus,NEUTRAL,NEUTRAL,NEUTRAL
1140,as we start to recover_from coronavirus we all need to play our part by following the rules this is how to stayalert ⬇️,NEUTRAL,POSITIVE,NEUTRAL
1141,everyone has a role to play in helping to control the virus by_staying alert and following the rules this is how we_can continue to save_lives as we start to recover_from coronavirus_stayalert,POSITIVE,POSITIVE,NEUTRAL
1142,thank_you for all that you are_doing we_cannot risk a second_peak that would overwhelm the nhs so let’s_keep going,POSITIVE,NEGATIVE,NEUTRAL
1143,i_know this has_been a difficult_time for many if_you are_struggling with your mental_health or are worried_about a friend or family member there_is help available,NEGATIVE,POSITIVE,POSITIVE
1144,thank_you for all you are_doing to protect our_nhs and save_lives this bank holiday weekend_please stay_at home so we don’t_undo everything that’s been done so_far,POSITIVE,POSITIVE,NEUTRAL
1145,today i had the honour and privilege of speaking with ernie who_served in world_war ii thank_you ernie we are a free people today because of what you and your generation did veday,POSITIVE,POSITIVE,POSITIVE
1146,thank_you for all that you are_doing to protect our_nhs and save_lives stayhomesavelives,POSITIVE,POSITIVE,NEUTRAL
1147,i observed two minutes silence in remembrance of those_who fell for the cause of freedom in the second_world war which_ended in europe years_ago today our gratitude to them will_be eternal_veday,NEUTRAL,POSITIVE,NEUTRAL
1148,we are past the peak of this_disease but we_can’t get_complacent please continue to follow the rules on social_distancing and stay_at home to save_lives stayhomesavelives,NEGATIVE,POSITIVE,NEGATIVE
1149,years on we are a free people because of everything they_did our gratitude will_be eternal_veday,POSITIVE,POSITIVE,POSITIVE
1150,tonight i lit a_candle by the grave of the unknown warrior in westminster abbey in remembrance of those_who gave_their lives for the cause of freedom in the second_world war which_ended in europe years_ago tomorrow lestweforget veday,POSITIVE,NEGATIVE,NEGATIVE
1151,thank_you to all of our carers_for your fantastic work day in day out you are pillars of society in the fight_against coronavirus,POSITIVE,POSITIVE,POSITIVE
1152,we_cannot risk a second_peak of this_disease we_must keep_going stayhomesavelives,NEGATIVE,NEGATIVE,NEUTRAL
1153,this has_been a difficult_time for our country but if we all continue to follow the rules and protect our_nhs then we_can beat_this virus together_stayhomesavelives,NEUTRAL,POSITIVE,NEUTRAL
1154,if we all continue to follow the rules we will come through this faster and the united_kingdom will emerge_stronger than_ever before stayhomesavelives,POSITIVE,NEUTRAL,NEUTRAL
1155,millions of people across this country have_been doing the right_thing going_through the hardship of self_isolation faithfully patiently with thought and care for others as_well as for themselves thank_you for all you are_doing and please_keep going_stayhomesavelives,POSITIVE,POSITIVE,NEUTRAL
1156,thank_you to all the midwives across the uk who continue to show extraordinary kindness and courage during_these challenging_times your compassion care and expertise are needed now more_than ever idm,POSITIVE,POSITIVE,POSITIVE
1157,thank_you for all that you are_doing to save_lives and protect our_nhs let’s_keep going,POSITIVE,POSITIVE,NEUTRAL
1158,thank_you all for complying_with the measures we have put in place your actions have_saved many lives but we_must keep_going,POSITIVE,NEUTRAL,POSITIVE
1159,the race to discover the vaccine to defeat this_virus is not a competition_between countries but the most_urgent shared_endeavour of our_lifetimes it’s humanity against the virus we are in this together and together we will prevail,POSITIVE,NEGATIVE,NEUTRAL
1160,we are past the peak of coronavirus but we all need to continue to behave in the way we have so we don’t_undo our hard_work,NEUTRAL,NEUTRAL,NEGATIVE
1161,we will only be_able to move on to the second_phase when our five_tests have_been met,NEGATIVE,NEUTRAL,NEUTRAL
1162,thank_you to everyone_who has_been following the rules on social_distancing and staying_at home we will beat_this together,POSITIVE,NEUTRAL,NEUTRAL
1163,if_you keep_going in the way that you have kept_going so_far we will come through this all the faster and the united_kingdom will emerge_stronger than_ever before,POSITIVE,NEUTRAL,NEUTRAL
1164,there_are five key tests that we_must satisfy before we_can adjust the current measures,NEGATIVE,POSITIVE,NEUTRAL
1165,we_must continue to follow the rules on social_distancing and stay_at home to protect our_nhs,NEGATIVE,POSITIVE,NEUTRAL
1166,thank_you for all that you are_doing to save_lives and protect our_nhs let’s_keep going,POSITIVE,POSITIVE,NEUTRAL
1167,thank_you for all the wonderful messages you sent_me when i was unwell and for all you are_doing to keep_yourselves and others safe,POSITIVE,POSITIVE,POSITIVE
1168,i can_confirm that we are past the peak of this_disease we are past the peak and we are on the downward slope and we have so_many reasons to be_hopeful for the long_term but we_can only defeat_coronavirus by our_collective discipline and working_together,NEGATIVE,NEUTRAL,NEGATIVE
1169,keeping the r_down is going to be absolutely_vital to our recovery and we_can only do it by our_collective discipline and working_together,POSITIVE,NEUTRAL,NEUTRAL
1170,tonight i proudly clapped outside downing_street for our fantastic_nhs and carers thank_you all for everything you are_doing thankyounhs,POSITIVE,POSITIVE,POSITIVE
1171,at today’s press_conference i was_asked about mental_health which is a_huge concern at this time if_you or a loved_one are_struggling there_is help available,NEUTRAL,POSITIVE,POSITIVE
1172,i_know how hard and how stressful it has_been to give up even temporarily those ancient and basic freedoms not seeing_friends not seeing loved_ones working from home managing the kids worrying_about your job and your firm,NEGATIVE,NEGATIVE,NEGATIVE
1173,captain tom today on your th_birthday allow me to express the admiration and gratitude of a whole_nation for your heroic fundraising mission,POSITIVE,POSITIVE,POSITIVE
1174,happy_birthday tom and thank_you for your_warm wishes,POSITIVE,POSITIVE,NEUTRAL
1175,i_want to congratulate all the new police recruits who have graduated in the last_six months who are now keeping our_streets and communities_safe in these_challenging times your professionalism devotion and personal courage is an_inspiration to us all,POSITIVE,POSITIVE,POSITIVE
1176,i_want to wish a very_special th_birthday thank_you on_behalf of the whole_country,POSITIVE,POSITIVE,NEUTRAL
1177,we’ve_got to keep_going follow the guidance on social_distancing and stay_at home to protect our_nhs and save_lives,NEUTRAL,POSITIVE,NEUTRAL
1178,this_morning i_took part in a minute’s silence to remember_those workers_who have tragically died in the coronavirus_pandemic the nation will not_forget you,NEUTRAL,NEGATIVE,NEUTRAL
1179,if_you can keep_going in the way that you have kept_going so_far and if we_can show the same_spirit of unity and determination as we have all shown in the past_six weeks then i have absolutely no_doubt that we will beat_this together,POSITIVE,POSITIVE,POSITIVE
1180,we_cannot throw away all the effort and sacrifice of the british_people and risk a second major outbreak,NEGATIVE,NEGATIVE,POSITIVE
1181,it is hard to find the words to express_my debt to the nhs for saving my life the efforts of millions of people across this country to stay_home are worth it together we will overcome_this challenge as we have overcome so_many challenges in the past stayhomesavelives,POSITIVE,NEGATIVE,NEGATIVE
1182,last_night on the advice of my doctor i_went into hospital for some routine tests as i’m still_experiencing coronavirus_symptoms i’m in good spirits and keeping in touch with my team as we work_together to fight this_virus and keep everyone safe,POSITIVE,POSITIVE,POSITIVE
1183,thank_you for doing your_bit in the fight_against coronavirus stay_home protect the nhs and save_lives stayhomesavelives,POSITIVE,POSITIVE,NEUTRAL
1184,we_can beat_this together_stayhomesavelives,POSITIVE,NEUTRAL,NEUTRAL
1185,thank_you to everyone_who is saving_lives by_staying at_home this_weekend i_know it s tough_but if we all work_together and follow the guidance we will beat_coronavirus stayhomesavelives,POSITIVE,NEUTRAL,NEUTRAL
1186,i have just_spoken to amp congratulated_him on becoming labour leader we agreed on the importance of all party_leaders continuing to work_constructively together through this national_emergency i have invited him and other opposition leaders to a briefing next_week,POSITIVE,POSITIVE,POSITIVE
1187,i have_written to all leaders of opposition parties to invite them to work_together at this moment of national_emergency,POSITIVE,POSITIVE,NEUTRAL
1188,this country has_made a_huge effort a_huge sacrifice and done absolutely brilliantly well in delaying the spread of the virus but in this fine_weather please don_t be tempted to break the regulations i_urge everyone to stay_at home_protect the nhs and save_lives,POSITIVE,POSITIVE,POSITIVE
1189,we_must now come_together to protect our_nhs and to save many many_thousands of lives_stayhomesavelives,POSITIVE,POSITIVE,POSITIVE
1190,another quick_update from me on our campaign_against coronavirus you are saving_lives by_staying at_home so i_urge you to stick with it this_weekend even_if we do have some fine_weather stayhomesavelives,POSITIVE,NEUTRAL,NEUTRAL
1191,thank_you to everyone_involved in building the new nhs nightingale hospital over the past fortnight this immense_effort means we will have an_extra beds to care for coronavirus patients,POSITIVE,POSITIVE,NEGATIVE
1192,thank_you to the nhs and all of our critical_workers for all you are_doing to fight coronavirus you really are an_inspiration clapforourcarers thankyouthursday clapforkeyworkers,POSITIVE,NEGATIVE,POSITIVE
1193,stay_at home_protect the nhs save_lives stayhomesavelives,POSITIVE,NEUTRAL,NEUTRAL
1194,yesterday s data showed more people were using transport than in previous_days please do_not leave your house unless absolutely_necessary it really will save_lives stayhomesaveslives,POSITIVE,POSITIVE,POSITIVE
1195,here s an_update to bring you up to speed on some of the things that we are_doing to protect our_nhs we will beat_coronavirus together by_staying at_home protecting our_nhs and saving_lives stayhomesavelives,POSITIVE,POSITIVE,NEUTRAL
1196,i_m staying_at home to protect our_nhs and save_lives if we all follow government_advice we_can beat_coronavirus together_stayhomesavelives,POSITIVE,POSITIVE,NEUTRAL
1197,thank_you kaydyn for staying_at home glad the food box arrived we’re_doing everything we_can to protect people like you stayhomesavelives,POSITIVE,POSITIVE,POSITIVE
1198,this_morning i_chaired the first_ever digital cabinet our message to the public is stay_at home_protect the nhs save_lives stayhomesavelives,POSITIVE,NEUTRAL,NEUTRAL
1199,thank_you to the former_staff coming_back to the nhs and thank_you to the people who have_volunteered to help vulnerable people through this crisis we will get_through it together coronavirus_stayhomesavelives,POSITIVE,NEGATIVE,NEGATIVE
1200,i’ve_been working from home and continuing to lead the government’s_response to coronavirus stay_at home_protect the nhs and save_lives stayhomesavelives,POSITIVE,NEUTRAL,NEUTRAL
1201,thanks to everyone_who has_been staying_at home by delaying the spread of the disease we_can reduce the pressure_on our_nhs and that s how we hope to save many_thousands of lives_stayhomesavelives,POSITIVE,POSITIVE,POSITIVE
1202,thank_you to everybody who’s doing what i’m doing working from home and stopping the virus spreading from household to household we’re_going to beat it and we’re_going to beat it together stay_at home_protect the nhs and save_lives stayhomesavelives,POSITIVE,NEGATIVE,NEUTRAL
1203,over the last_hours i have developed mild symptoms and tested_positive for coronavirus i_am now self_isolating but i will_continue to lead the government’s_response via_video conference as we fight this_virus together we will beat_this stayhomesavelives,NEGATIVE,NEGATIVE,POSITIVE
1204,on_behalf of the whole_country i_want to thank all the incredible nurses doctors nhs support staff amp carers who are working_flat out to fight coronavirus clapforourcarers clapfornhs to help_them and protect the nhs we_need everyone to stay_at home_stayhomesavelives,POSITIVE,POSITIVE,POSITIVE
